"round_id","condition","participant_id","selected_elements","trust_article","trust_image"
481,"color",134,"Picture;Headline","6","6"
482,"no_color",131,"Headline;Topic","5","6"
483,"nolabel",136,"Headline;Topic","4","4"
487,"no_color",137,"Headline","6","4"
488,"c2pa",135,"Headline","6","6"
489,"no_color",131,"Image label;Headline;Topic","5","7"
490,"c2pa",138,"Headline;Topic","7","7"
491,"nolabel",139,"Headline","4","4"
492,"color",140,"Headline;Topic","7","7"
493,"c2pa",132,"Picture","6","6"
494,"nolabel",136,"Don't know/None of these","4","4"
495,"nolabel",139,"Picture;Headline;Topic","5","5"
496,"nolabel",136,"Headline","4","4"
497,"c2pa",132,"Picture;Headline;Topic","6","6"
498,"nolabel",139,"Picture;Topic","5","5"
499,"c2pa",142,"Picture;Image label;Headline;Topic","6","6"
500,"no_color",141,"Image label;Headline;Topic","5","5"
501,"c2pa",138,"Headline;Topic","7","7"
502,"no_color",137,"Image label;Headline","5","4"
503,"c2pa",138,"Headline;Topic","6","6"
504,"no_color",137,"Image label;Topic","5","5"
505,"color",140,"Headline","7","7"
506,"color",140,"Headline;Topic","7","7"
507,"no_color",141,"Headline;Topic","4","3"
508,"color",144,"Topic","3","3"
509,"c2pa",135,"Image label;Headline","2","6"
510,"nolabel",143,"Headline;Topic","4","4"
511,"no_color",141,"Picture;Topic","2","4"
512,"c2pa",135,"Picture;Headline;Topic","6","6"
513,"nolabel",143,"Headline;Topic","5","4"
514,"c2pa",142,"Picture;Image label;Headline;Topic","6","6"
515,"c2pa",146,"Don't know/None of these","3","1"
516,"nolabel",143,"Picture;Headline;Topic","5","4"
517,"color",144,"Headline;Topic","3","4"
518,"no_color",145,"Headline","7","7"
519,"c2pa",142,"Picture;Headline;Topic","6","6"
520,"c2pa",146,"Headline","2","2"
522,"color",144,"Topic","3","3"
523,"c2pa",146,"Headline","3","3"
524,"no_color",148,"Headline","4","4"
525,"no_color",145,"Headline","7","7"
526,"no_color",145,"Headline","6","6"
527,"c2pa",149,"Headline","3","4"
528,"nolabel",150,"Picture;Headline;Topic","4","4"
529,"no_color",148,"Headline","5","5"
530,"color",151,"Headline;Topic","5","5"
531,"no_color",148,"Headline","5","5"
532,"no_color",152,"Headline","7","7"
